"part_id","age","ageRound","cueDum","cueContrast","blockNum","trialNum","tType","acc","reachRT","minDist","minPDist","szDummyAgg","Reach Type","Age","Condition","Trial Type"
1004,6.54,6,1,0.5,3,9,0.5,1,1791.82292117,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1004,6.54,6,1,0.5,3,10,0.5,1,969.745980239,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1004,6.54,6,1,0.5,3,11,0.5,1,1183.35536825,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1004,6.54,6,1,0.5,3,12,-0.5,1,0,1.354546,1,0,"No-go: Non-Reach","6 (n=27)","Cue Highlight","No-Go"
1004,6.54,6,1,0.5,4,13,0.5,1,1263.29149354,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1004,6.54,6,1,0.5,4,14,0.5,1,1181.52184301,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1004,6.54,6,1,0.5,4,15,-0.5,1,0,1.30592,1,0,"No-go: Non-Reach","6 (n=27)","Cue Highlight","No-Go"
1004,6.54,6,1,0.5,4,16,0.5,1,1186.68051719,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1004,6.54,6,1,0.5,5,17,0.5,1,1548.23087286,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1004,6.54,6,1,0.5,5,18,0.5,1,1223.38970632,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1004,6.54,6,1,0.5,5,19,-0.5,1,0,1.30592,1,0,"No-go: Non-Reach","6 (n=27)","Cue Highlight","No-Go"
1004,6.54,6,1,0.5,5,20,-0.5,1,0,0.714345826835159,0.527369189998094,1,"No-go: Partial Reach","6 (n=27)","Cue Highlight","No-Go"
1004,6.54,6,1,0.5,6,21,-0.5,1,0,1.576785,1,0,"No-go: Non-Reach","6 (n=27)","Cue Highlight","No-Go"
1004,6.54,6,1,0.5,6,22,0.5,1,1186.34771785,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1004,6.54,6,1,0.5,6,23,0.5,1,1300.01547375,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1004,6.54,6,1,0.5,6,24,0.5,1,1186.02345183,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1004,6.54,6,1,0.5,7,25,0.5,1,1572.95359696,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1004,6.54,6,1,0.5,7,26,0.5,1,1186.59575291,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1004,6.54,6,1,0.5,7,27,0.5,1,1295.22600773,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1004,6.54,6,1,0.5,7,28,-0.5,1,0,1.354546,1,0,"No-go: Non-Reach","6 (n=27)","Cue Highlight","No-Go"
1004,6.54,6,1,0.5,8,29,-0.5,1,0,1.576785,1,0,"No-go: Non-Reach","6 (n=27)","Cue Highlight","No-Go"
